tid	entries	bytes	title
T147	399	96652	Packing densities and Hermite numbers of the classical latti
T148	96	46715	Densities of the densest known lattice sphere packings
T149	9	14021	Hermite's constants $\gamma_n$
T150	234	69602	Covering radii and covering densities of the classical latti
T151	24	17170	Kissing numbers $\tau_n$
T152	66	31586	Site and bond percolation thresholds of lattices
T153	34	28828	Entropy constants of lattice models
T154	46	30303	Critical couplings of the Ising model on lattices
T155	34	20562	Critical exponents of the two-dimensional universality class
T156	10	11110	k-core thresholds of the Erdős–Rényi random graph
T157	16	19728	Connective constants of lattices
T158	515	140076	Regulators of cubic fields
T159	515	118678	Residues of Dedekind zeta functions of cubic fields
T160	26	24040	Minimal discriminants of number fields by degree and signatu
T161	519	61221	Values of Dedekind zeta functions of totally real cubic fiel
T162	515	125803	Values of Dedekind zeta functions of cubic fields at 2
T163	71	28427	Hardy-Littlewood singular series of prime tuples
T164	828	100581	Mertens constants of primes in arithmetic progressions
T165	92	25981	Densities of primes with a given primitive root
T166	76	20390	Bateman-Horn constants of monic quadratic polynomials
T167	12	10886	Named rational Euler products over primes
T168	48	15124	Bifurcation points of the period-doubling cascade of the log
T169	238	64745	Periodic windows of the logistic map by kneading word
T170	13	10467	Khinchin's means $K_p$
T171	28	13565	Lyapunov exponents of classical chaotic systems
T172	2	5297	Lévy's constant
T173	1	3303	Lochs's constant
T174	50	12123	Eigenvalues of the Gauss-Kuzmin-Wirsing operator
T175	538	69891	Values of the Clausen functions $\mathrm{Cl}_s$ at rational 
T176	768	95026	Values of the polylogarithm $\mathrm{Li}_s$ at rational argu
